variant,fullname,editortype
LS_p551wlt_rep1,LS_p551wlt_rep1,cas9
LS_p552wlt_rep1,LS_p552wlt_rep1,ABE
LS_p553wlt_rep1,LS_p553wlt_rep1,ABE
LS_p554wlt_rep1,LS_p554wlt_rep1,CBE
LS_p555wlt_rep1,LS_p555wlt_rep1,CBE
LS_p556wlt_rep1,LS_p556wlt_rep1,CBE
LS_p557wlt_rep1,LS_p557wlt_rep1,ABE
LS_p558wlt_rep1,LS_p558wlt_rep1,ABE
LS_p559wlt_rep1,LS_p559wlt_rep1,CBE
LS_p551evo_rep1,LS_p551evo_rep1,cas9
LS_p552evo_rep1,LS_p552evo_rep1,ABE
LS_p553evo_rep1,LS_p553evo_rep1,ABE
LS_p554evo_rep1,LS_p554evo_rep1,CBE
LS_p555evo_rep1,LS_p555evo_rep1,CBE
LS_p556evo_rep1,LS_p556evo_rep1,CBE
LS_p557evo_rep1,LS_p557evo_rep1,ABE
LS_p558evo_rep1,LS_p558evo_rep1,ABE
LS_p559evo_rep1,LS_p559evo_rep1,CBE
LS_control_rep1,LS_control_rep1,control
LS_p551wlt_rep2,LS_p551wlt_rep2,cas9
LS_p552wlt_rep2,LS_p552wlt_rep2,ABE
LS_p553wlt_rep2,LS_p553wlt_rep2,ABE
LS_p554wlt_rep2,LS_p554wlt_rep2,CBE
LS_p555wlt_rep2,LS_p555wlt_rep2,CBE
LS_p556wlt_rep2,LS_p556wlt_rep2,CBE
LS_p557wlt_rep2,LS_p557wlt_rep2,ABE
LS_p558wlt_rep2,LS_p558wlt_rep2,ABE
LS_p559wlt_rep2,LS_p559wlt_rep2,CBE
LS_p551evo_rep2,LS_p551evo_rep2,cas9
LS_p552evo_rep2,LS_p552evo_rep2,ABE
LS_p553evo_rep2,LS_p553evo_rep2,ABE
LS_p554evo_rep2,LS_p554evo_rep2,CBE
LS_p555evo_rep2,LS_p555evo_rep2,CBE
LS_p556evo_rep2,LS_p556evo_rep2,CBE
LS_p557evo_rep2,LS_p557evo_rep2,ABE
LS_p558evo_rep2,LS_p558evo_rep2,ABE
LS_p559evo_rep2,LS_p559evo_rep2,CBE
LS_control_rep2,LS_control_rep2,control
LS_p551wlt_rep3,LS_p551wlt_rep3,cas9
LS_p552wlt_rep3,LS_p552wlt_rep3,ABE
LS_p553wlt_rep3,LS_p553wlt_rep3,ABE
LS_p554wlt_rep3,LS_p554wlt_rep3,CBE
LS_p555wlt_rep3,LS_p555wlt_rep3,CBE
LS_p556wlt_rep3,LS_p556wlt_rep3,CBE
LS_p557wt_rep3,LS_p557wt_rep3,ABE
LS_p558wlt_rep3,LS_p558wlt_rep3,ABE
LS_p559wlt_rep3,LS_p559wlt_rep3,CBE
LS_p551evo_rep3,LS_p551evo_rep3,cas9
LS_p552evo_rep3,LS_p552evo_rep3,ABE
LS_p553evo_rep3,LS_p553evo_rep3,ABE
LS_p554evo_rep3,LS_p554evo_rep3,CBE
LS_p555evo_rep3,LS_p555evo_rep3,CBE
LS_p556evo_rep3,LS_p556evo_rep3,CBE
LS_p557evo_rep3,LS_p557evo_rep3,ABE
LS_p558evo_rep3,LS_p558evo_rep3,ABE
LS_p559evo_rep3,LS_p559evo_rep3,CBE
LS_control_rep3,LS_control_rep3,control
